file,patterns
2022_01effb13.diff,Logic
2022_0222be13.diff,Logic
2022_07daca53.diff,"NullCheck, Logic"
2022_08909e3a.diff,Logic
2022_091a971b.diff,"NullCheck, Logic"
2022_0d5bd3a6.diff,Logic
2022_0e758ae8.diff,"Memory, Logic"
2022_0f47e833.diff,"Memory, Logic"
2022_14a737bf.diff,Logic
2022_163b0993.diff,"Logic, Assertion"
2022_17ec5fa5.diff,"NullCheck, Logic"
2022_19408aae.diff,Logic
2022_1aa8dad4.diff,Logic
2022_1d4be6be.diff,"NullCheck, Logic, Assertion"
2022_1e085766.diff,Logic
2022_1e731ed1.diff,"NullCheck, Logic"
2022_1f0019de.diff,"Memory, Logic"
2022_1f655fdc.diff,Logic
2022_20b68471.diff,"NullCheck, Logic"
2022_21267b64.diff,"NullCheck, Logic"
2022_2253f5b4.diff,Logic
2022_2313a3ee.diff,"NullCheck, Logic"
2022_245e14e2.diff,"Memory, Logic"
2022_25f915b3.diff,Logic
2022_26ee7fb3.diff,"NullCheck, Logic"
2022_291ec6e4.diff,Logic
2022_2beb4acf.diff,Logic
2022_2d7ead85.diff,Logic
2022_335fa5a2.diff,"NullCheck, Logic"
2022_3390ef1b.diff,"NullCheck, Logic"
2022_359d6010.diff,"NullCheck, Logic"
2022_36e545cd.diff,"NullCheck, Logic, Assertion"
2022_36f729e2.diff,"NullCheck, Logic"
2022_376af686.diff,Logic
2022_385da730.diff,Logic
2022_387803d8.diff,Logic
2022_39b8c293.diff,Logic
2022_3d53b9ef.diff,Logic
2022_3eae0cbf.diff,Logic
2022_43a7dc96.diff,"NullCheck, Logic"
2022_4517358e.diff,Logic
2022_45d5ecab.diff,Logic
2022_45edde03.diff,"Memory, Logic"
2022_4667d97c.diff,Logic
2022_46d9bfb0.diff,"NullCheck, Logic, Concurrency"
2022_4b4663fb.diff,"NullCheck, Memory, Logic"
2022_4cd8717a.diff,"NullCheck, Logic"
2022_4ddfbd2a.diff,Logic
2022_4f981df8.diff,"NullCheck, Logic"
2022_4fc6b6ee.diff,Logic
2022_503e3833.diff,"Logic, Assertion"
2022_53823a06.diff,Logic
2022_55b49663.diff,"Memory, Logic"
2022_56b66252.diff,"Memory, Logic, Assertion"
2022_587de223.diff,"NullCheck, Memory, Logic"
2022_59176715.diff,"NullCheck, Memory, Logic, Assertion"
2022_5c7121bc.diff,"NullCheck, Logic"
2022_5dcebd10.diff,Logic
2022_5e26aa64.diff,"NullCheck, Logic, Assertion"
2022_5e9b1220.diff,"NullCheck, Logic"
2022_5ecd0183.diff,Logic
2022_6538be9e.diff,Logic
2022_664da2a3.diff,Logic
2022_670475b2.diff,Logic
2022_69298db8.diff,Logic
2022_692df425.diff,Logic
2022_6af08272.diff,"NullCheck, Logic"
2022_6c07f9eb.diff,"NullCheck, Logic"
2022_6c46e8a5.diff,"Memory, Logic"
2022_6d157e7c.diff,"NullCheck, Memory, Logic"
2022_6f6943fc.diff,"NullCheck, Memory, Logic"
2022_701d918a.diff,Logic
2022_7057bf23.diff,"NullCheck, Logic"
2022_71cb84ec.diff,"NullCheck, Logic, Assertion"
2022_7201cd18.diff,"NullCheck, Memory, Logic, Assertion"
2022_7597cc30.diff,Logic
2022_75bfe743.diff,Logic
2022_7a08f78a.diff,Logic
2022_7b64e4b3.diff,"Memory, Logic"
2022_7beda87b.diff,Logic
2022_7e74aafc.diff,"NullCheck, Memory, Logic"
2022_7fdbdf20.diff,Logic
2022_8328a15f.diff,"Logic, Assertion"
2022_83e42a00.diff,Logic
2022_853c6400.diff,Logic
2022_891624f0.diff,Logic
2022_8ab0ebb9.diff,"NullCheck, Logic"
2022_8c848cd4.diff,"Logic, Assertion"
2022_8c954168.diff,"NullCheck, Logic, Concurrency"
2022_8cd7627c.diff,Logic
2022_8e053dc6.diff,"NullCheck, Memory, Logic"
2022_8e2b6d45.diff,Logic
2022_8f1537d1.diff,Logic
2022_90a4b641.diff,Logic
2022_914611ea.diff,"NullCheck, Logic"
2022_91c0570a.diff,"Logic, Concurrency"
2022_92007233.diff,Logic
2022_92405897.diff,"Memory, Logic"
2022_93759c66.diff,Logic
2022_9520f8d9.diff,"NullCheck, Logic"
2022_99c75412.diff,"NullCheck, Logic"
2022_9c3d25e1.diff,"NullCheck, Logic"
2022_9cb5518b.diff,"NullCheck, Memory, Logic"
2022_9cd43f6c.diff,"NullCheck, Logic"
2022_9d3444dc.diff,"NullCheck, Logic"
2022_9e6b7b45.diff,Logic
2022_9ef2c655.diff,Logic
2022_a2341779.diff,Logic
2022_a62bff74.diff,Logic
2022_a6434b95.diff,Logic
2022_a69959fa.diff,Logic
2022_a9d58bfe.diff,"Memory, Logic"
